"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 01 22:55:31 IST 2024","Mon Jul 01 22:55:31 IST 2024","2","All Test Suite","C:/Users/Lenovo/IdeaProjects/SeleniumAdvanceFramewok","org.example.Vwo.vwoLoginTests.LoginTest","org.example.Vwo.vwoLoginTests.LoginTest","setUp","setUp",""
"passed","Tue Jul 02 12:37:39 IST 2024","Tue Jul 02 12:37:48 IST 2024","8576","All Test Suite","C:/Users/Lenovo/IdeaProjects/SeleniumAdvanceFramewok","org.example.Vwo.vwoLoginTests.LoginTest","org.example.Vwo.vwoLoginTests.LoginTest","testLoginNegative","testLoginNegative",""
"passed","Tue Jul 02 12:37:49 IST 2024","Tue Jul 02 12:38:03 IST 2024","13388","All Test Suite","C:/Users/Lenovo/IdeaProjects/SeleniumAdvanceFramewok","org.example.Vwo.vwoLoginTests.LoginTest","org.example.Vwo.vwoLoginTests.LoginTest","testLoginPositive","testLoginPositive",""
